R,P,U
0.6958310429896036,0.09903198554685586,0.7733958880329173
0.7687024056079975,0.07323236488755742,0.7794528516589432
0.7525956369724951,0.07793401512388706,0.7797461491488057
0.7741980938199137,0.08067146638578462,0.7733794505368374
0.7215963883345559,0.08793937422363574,0.7728410440566363
0.730606917533919,0.08750346034840656,0.7721625716101148
0.8188852735535335,0.06673630751124791,0.7812159716651138
0.7730306873307047,0.07668968811531716,0.7847086369619174
0.7176440437978175,0.09636597962366406,0.775388844617481
0.7199539470675024,0.09185232172873017,0.7753432803797164
0.8190703012748602,0.06806243283923856,0.7812148126217873
0.7756639401860259,0.07972867524131981,0.7706450563735151
0.7489989958548899,0.07989731397133552,0.7724862279384701
0.7159990480392529,0.09226818758955634,0.7741156089962954
0.7560354849940145,0.08324062285026121,0.7747356498409633
0.7480548062280672,0.08453431323452619,0.7714660171014909
0.7952392977643157,0.07704000158108384,0.7709459735650069
0.7750365384140113,0.08441811145995283,0.7751774064253798
0.7261946043500592,0.08959970356977268,0.7720550084521046
0.716007826639173,0.09604029793498203,0.77635666396539
0.7426986725309549,0.08586386406222325,0.7715714577276841
0.7724943383267914,0.07709348937134233,0.7715222727704103
0.7451079408719211,0.07938110728991453,0.7796739435433591
0.7155513415857464,0.08822609641522469,0.7734537619876832
0.7261031554426609,0.0914172381874016,0.7717460888140709
0.7780524947546464,0.08113242340748698,0.7719927000943909
0.7363265234844955,0.08797963857140215,0.7754520448548601
0.7052267562349781,0.09381749872556239,0.773424865103556
0.7452997357200541,0.09030536490943857,0.7755491096910219
0.7131101526551125,0.09446681512226306,0.7770914626001381
0.7418002357660006,0.0906101379030658,0.7751550584273361
0.7500396206388079,0.08211032377180666,0.7732987047220246
0.8113100300818188,0.06627967142689722,0.7782145764999839
0.7248360546602853,0.09505355434508092,0.7770301911042482
0.7968709818933594,0.07392719006002008,0.7704879364983558
0.7439929295293558,0.08441078566778494,0.773333229393743
0.7435183757818982,0.08655891413049344,0.7755469575601646
0.766818019280373,0.07753388225426146,0.7723001896949482
0.7604260976785985,0.07779217058677154,0.7789986637642348
0.7478915631226661,0.08201903385068368,0.772055654700434
0.7437644921574103,0.08458030821884437,0.7722674562886321
0.8024634841586801,0.06869486100297259,0.7783570351074061
0.7400602274234891,0.08887748240717365,0.7734607725723757
0.7505574690158859,0.07691142262378793,0.7798091267376553
0.7392431888984629,0.08297612667595955,0.7725912411405884
0.7270238411194514,0.08860860775551888,0.7722619593648908
0.798291801156595,0.07658653400563999,0.7717572602776125
0.7225497180879267,0.08867000999387614,0.7727320854354873
0.7767523661807905,0.07254742633645574,0.7789297767236752
0.7427888675106658,0.08636334535430644,0.77516542555364
0.7895369020984854,0.0707718882916343,0.7790602555472728
0.7633132755070124,0.08396092047779534,0.7743707714885396
0.7670056080025726,0.08452907215940515,0.7734756805126924
0.7595300917419189,0.08188757512831053,0.7713958202628183
0.6990215750982558,0.099887239948119,0.7775162373705041
0.7135339686838619,0.0841210892980107,0.7816702517549059
0.7192758753006689,0.08887904295147808,0.7730545623304191
0.7455774006488253,0.08764970374862602,0.775497937788223
0.726975631726089,0.08998802533505323,0.773243544348191
0.7410503256076796,0.07926838234063918,0.7824265803171472
0.7189059634970576,0.08877855207660047,0.7734090437133359
0.7206379810115788,0.08578147498268696,0.7735677569925877
0.752846400382147,0.08366564393055784,0.7751917123569756
0.7391454411623315,0.08423081400427428,0.7723683257272663
0.8038300560677524,0.07034508609300356,0.7776700700087159
0.7501601608905769,0.08459503648074028,0.7715933807238003
0.7515532818445227,0.08931968611058239,0.7751991554480112
0.767984999836749,0.08150309096412309,0.7707186885847399
0.6965944332520184,0.09948823004927272,0.7748007733245
0.756765887151749,0.08168723529564317,0.7714875378135019
